No,From No,To No,From Name,To Name,From Limit,To Limit,Note
1,1,2,A,B,2200,2200,
2,2,3,B,C,1500,1600,
3,3,5,C,E,5650,5650,
4,5,6,E,F,3925,3925,
5,4,5,D,E,2650,1600,
6,6,16,F,ISONE,800,800,
7,1,12,A,IESO,1300,1700,
8,4,12,D,IESO,300,300,
9,4,14,D,CHATEAUGAY,1000,1700,
10,13,14,HQ,CHATEAUGAY,0,0,
11,12,13,IESO,HQ,2040,2665,
12,13,15,HQ,PHASE II,1400,1200,
13,13,16,HQ,ISONE,200,100,
14,4,16,D,ISONE,0,0,
15,15,16,PHASE II,ISONE,0,0,
16,6,7,F,G,5400,5400,
17,5,7,E,G,2300,1600,
18,7,16,G,ISONE,800,600,
19,7,8,G,H,7375,7375,
20,8,9,H,I,8450,8450,
21,9,10,I,J,4350,4350,
22,10,11,J,K,320,505,
23,9,11,I,K,1293,515,
24,7,18,G,PJM RECO 425,0,0,
25,7,19,G,PJM,1000,1000,
26,7,21,G,J2,0,150,unidirectional
27,3,19,C,PJM,300,300,
28,3,20,C,PJMW,200,600,
29,1,20,A,PJMW,550,550,
30,19,20,PJM,PJMW,0,0,
31,19,21,PJM,J2,0,0,
32,21,22,J2,VFT,315,315,
33,19,25,PJM,NEPT,660,660,
34,21,23,J2,HTP,660,660,
35,10,23,J,HTP,0,660,unidirectional
36,10,21,J,J2,0,0,unidirectional
37,21,24,J2,J3,500,0,unidirectional
38,10,24,J,J3,315,815,interface with dynamic rating
39,22,24,VFT,J3,315,315,
40,11,25,K,NEPT,0,660,unidirectional
41,11,17,K,CSC,0,0,
42,16,17,ISONE,CSC,330,330,
43,11,16,K,ISONE,414,404,interface with dynamic rating
