Transmission Owner,Subzone,Zone
Metering Authority - Central Hudson Gas and Electr,CENT HUD HUDSON VLY,HUD VL
Metering Authority - Central Hudson Gas and Electr,CENT HUD MOHAWK VLY,MHK VL
Metering Authority - Consolidated Edison of NY,CON ED DUNWOODIE,DUNWOD
Metering Authority - Consolidated Edison of NY,CON ED HUDSON VLY,HUD VL
Metering Authority - Consolidated Edison of NY,CON ED MILLWOOD,MILLWD
Metering Authority - Consolidated Edison of NY,CON ED NY CITY,N.Y.C.
Metering Authority - Long Island Power Authority,LIPA LONG ISLAND,LONGIL
Metering Authority - New York Power Authority,NYPA NORTH,NORTH
Metering Authority - New York State Electric & Gas,NYSEG CAPITAL,CAPITL
Metering Authority - New York State Electric & Gas,NYSEG CENTRAL,CENTRL
Metering Authority - New York State Electric & Gas,NYSEG HUDSON VLY,HUD VL
Metering Authority - New York State Electric & Gas,NYSEG MILLWOOD,MILLWD
Metering Authority - New York State Electric & Gas,NYSEG MOHAWK VLY,MHK VL
Metering Authority - New York State Electric & Gas,NYSEG NORTH,NORTH
Metering Authority - New York State Electric & Gas,NYSEG WEST,WEST
Metering Authority - Niagara Mohawk,NMPC CAPITAL,CAPITL
Metering Authority - Niagara Mohawk,NMPC CENTRAL,CENTRL
Metering Authority - Niagara Mohawk,NMPC GENESEE,GENESE
Metering Authority - Niagara Mohawk,NMPC MOHAWK VLY,MHK VL
Metering Authority - Niagara Mohawk,NMPC NORTH,NORTH
Metering Authority - Niagara Mohawk,NMPC WEST,WEST
Metering Authority - Orange and Rockland Utilities,O&R HUDSON VLY,HUD VL
Metering Authority - Rochester Gas and Electric,RG&E GENESEE,GENESE
